,date,BTC_BCN,BTC_BELA,BTC_BLK,BTC_BTCD,BTC_BTM,BTC_BTS,BTC_BURST,BTC_CLAM,BTC_DASH,BTC_DGB,BTC_DOGE,BTC_EMC2,BTC_FLDC,BTC_FLO,BTC_GAME,BTC_GRC,BTC_HUC,BTC_LTC,BTC_MAID,BTC_OMNI,BTC_NAUT,BTC_NAV,BTC_NEOS,BTC_NMC,BTC_NOTE,BTC_NXT,BTC_PINK,BTC_POT,BTC_PPC,BTC_RIC,BTC_SJCX,BTC_STR,BTC_SYS,BTC_VIA,BTC_XVC,BTC_VRC,BTC_VTC,BTC_XBC,BTC_XCP,BTC_XEM,BTC_XMR,BTC_XPM,BTC_XRP,BTC_ETH,BTC_SC,BTC_BCY,BTC_EXP,BTC_FCT,BTC_RADS,BTC_AMP,BTC_DCR,BTC_LSK,BTC_LBC,BTC_STEEM,BTC_SBD,BTC_ETC,BTC_REP,BTC_ARDR,BTC_ZEC,BTC_STRAT,BTC_NXC,BTC_PASC,BTC_GNT
0,1492704000,1.5e-7,0.00010774,8.712e-5,0.00669898,0.00041791,8.95e-6,1.77e-6,0.00134992,0.05746716,9.1e-7,3.6e-7,9.31e-6,2.25e-6,1.422e-5,0.00066768,1.008e-5,3.83e-5,0.00890013,0.00017249,0.0051714,0.00016381,9.926e-5,0.00071262,0.000609,1.138e-5,1.582e-5,5.14e-6,3.452e-5,0.00062862,2.444e-5,0.00023602,2.72e-6,2.531e-5,0.00014575,7.692e-5,6.895e-5,7.32e-5,0.0381874,0.00321109,2.411e-5,0.01666996,0.00014381,2.367e-5,0.03996921,6.3e-7,0.00025984,0.00056985,0.0054411,0.00135864,8.449e-5,0.01120999,0.000299,6.198e-5,0.0001832,0.00087969,0.0026629,0.00928615,2.444e-5,0.05477702,0.00052893,9.127e-5,0.00025182,7.912e-5
1,1492718400,1.5e-7,0.0001046,8.635e-5,0.00677596,0.00045098,9.08e-6,1.7e-6,0.00136001,0.05805999,9.5e-7,3.5e-7,9.18e-6,2.33e-6,1.317e-5,0.00062911,1.075e-5,3.797e-5,0.00887798,0.00017294,0.00506865,0.00016653,0.00010597,0.00075161,0.00061877,1.078e-5,1.62e-5,4.92e-6,3.598e-5,0.0006295,2.517e-5,0.00027175,2.74e-6,2.415e-5,0.0001502,8.084e-5,6.7e-5,7.633e-5,0.03965809,0.00333199,2.32e-5,0.01619991,0.00013917,2.439e-5,0.03983678,6.2e-7,0.00027135,0.00056661,0.00533003,0.0013099,8.346e-5,0.01153428,0.00029325,6.358e-5,0.00017898,0.00086251,0.00260947,0.00917,2.429e-5,0.0543,0.0005437,9.326e-5,0.00025241,8.113e-5
2,1492732800,1.6e-7,0.00010305,8.376e-5,0.0066629,0.00041895,9.13e-6,1.67e-6,0.00133115,0.05875996,9.1e-7,3.7e-7,9.41e-6,2.33e-6,1.313e-5,0.00060882,1.02e-5,3.72e-5,0.00900044,0.00017182,0.0051652,0.00016361,0.00010692,0.00073501,0.00060335,1.091e-5,1.562e-5,4.94e-6,3.611e-5,0.00062514,2.503e-5,0.00028615,2.79e-6,2.507e-5,0.00015455,8.239e-5,6.667e-5,7.381e-5,0.03810115,0.00329848,2.279e-5,0.01612276,0.00014139,2.552e-5,0.03944001,6.3e-7,0.00025357,0.00052965,0.00549503,0.0013011,8.139e-5,0.01153419,0.0002921,6.35e-5,0.00017834,0.00087001,0.0026151,0.00898621,2.408e-5,0.054105,0.0005375,9.535e-5,0.00025151,8.026e-5
3,1492747200,1.5e-7,0.00010428,8.671e-5,0.00660004,0.00042409,8.97e-6,1.67e-6,0.00134796,0.05774,9.2e-7,3.6e-7,9.16e-6,2.22e-6,1.313e-5,0.0006409,1.024e-5,3.802e-5,0.0091,0.00017653,0.00538634,0.00017074,0.00010595,0.00076541,0.00059971,1.089e-5,1.594e-5,4.44e-6,3.519e-5,0.0006235,2.419e-5,0.00028253,2.76e-6,2.619e-5,0.00014614,7.891e-5,6.649e-5,8.153e-5,0.03804001,0.00320606,2.419e-5,0.01612,0.00013736,2.376e-5,0.039395,6.3e-7,0.00024454,0.00055499,0.00542759,0.00135152,8.047e-5,0.01128,0.00030433,6.251e-5,0.00017983,0.00082973,0.002663,0.00908038,2.382e-5,0.05520814,0.00055076,9.56e-5,0.00025032,7.946e-5
4,1492761600,1.5e-7,0.00010427,8.297e-5,0.0065,0.00040541,9.0e-6,1.6e-6,0.00130997,0.0576277,9.0e-7,3.5e-7,9.09e-6,2.22e-6,1.297e-5,0.00064387,1.046e-5,3.719e-5,0.00979988,0.00017386,0.00527457,0.00016837,0.00010611,0.00073,0.00060007,1.11e-5,1.583e-5,4.45e-6,3.462e-5,0.00061558,2.422e-5,0.00030489,2.68e-6,2.531e-5,0.00014455,7.708e-5,6.664e-5,7.983e-5,0.03815001,0.00318004,2.353e-5,0.01631069,0.00013577,2.402e-5,0.03889143,6.0e-7,0.00023811,0.00054762,0.00508473,0.0013075,8.203e-5,0.01141061,0.00030452,6.251e-5,0.00017901,0.0008645,0.00250242,0.00886064,2.272e-5,0.05475615,0.00054743,9.292e-5,0.00026104,7.873e-5
5,1492776000,1.6e-7,0.0001038,8.396e-5,0.00660429,0.00040336,9.23e-6,1.63e-6,0.00137962,0.05741741,9.6e-7,3.6e-7,8.76e-6,2.3e-6,1.272e-5,0.00064766,1.014e-5,3.817e-5,0.00980104,0.00017424,0.00532704,0.00016946,0.0001061,0.00076405,0.00061706,1.094e-5,1.563e-5,5.18e-6,3.53e-5,0.00062515,2.467e-5,0.0003087,2.73e-6,2.555e-5,0.00014461,7.852e-5,6.53e-5,8.645e-5,0.04180531,0.00318863,2.376e-5,0.01635491,0.00013408,2.677e-5,0.0393313,6.5e-7,0.00026403,0.00056809,0.00518497,0.00134773,8.277e-5,0.01147501,0.00030221,6.079e-5,0.00018283,0.00085,0.00255229,0.00907091,2.294e-5,0.0548341,0.00054685,9.185e-5,0.00025698,7.85e-5
6,1492790400,1.6e-7,0.00010405,8.612e-5,0.0066346,0.00040104,9.75e-6,1.69e-6,0.00136839,0.05790001,9.7e-7,3.7e-7,8.62e-6,2.34e-6,1.331e-5,0.00066558,1.04e-5,3.886e-5,0.00971779,0.00017845,0.0053996,0.00017003,9.98e-5,0.00077204,0.00063506,1.155e-5,1.567e-5,4.71e-6,3.544e-5,0.00066081,2.59e-5,0.00030377,2.77e-6,2.584e-5,0.00018,8.228e-5,6.667e-5,8.924e-5,0.03988895,0.00316347,2.517e-5,0.01644121,0.00013369,2.673e-5,0.03919999,6.3e-7,0.00026721,0.00058907,0.00516215,0.0013594,8.65e-5,0.01180409,0.00030656,6.074e-5,0.00018585,0.00089005,0.00252055,0.00902846,2.359e-5,0.0547562,0.00054299,9.121e-5,0.00025582,7.866e-5
7,1492804800,1.5e-7,0.00010381,8.84e-5,0.00666504,0.00041,9.5e-6,1.67e-6,0.00136047,0.05729903,9.7e-7,3.7e-7,8.82e-6,2.35e-6,1.322e-5,0.00066676,1.031e-5,3.814e-5,0.00970424,0.00017941,0.00527301,0.00016958,0.00010577,0.00076493,0.00063208,1.153e-5,1.564e-5,5.08e-6,3.571e-5,0.00064872,2.506e-5,0.00030347,2.78e-6,2.562e-5,0.00015707,8.027e-5,6.677e-5,8.524e-5,0.03960284,0.00312808,2.673e-5,0.016441,0.00013761,2.685e-5,0.03863579,6.5e-7,0.00025781,0.00059726,0.0053371,0.00135941,8.713e-5,0.0122001,0.00030814,6.003e-5,0.00019089,0.00087746,0.00251998,0.00898113,2.333e-5,0.05490647,0.00054165,8.998e-5,0.00025609,8.05e-5
8,1492819200,1.5e-7,0.000104,9.1e-5,0.00653585,0.00042605,9.96e-6,1.68e-6,0.00135824,0.05749889,9.8e-7,3.7e-7,8.8e-6,2.33e-6,1.32e-5,0.00070233,1.023e-5,3.802e-5,0.00977167,0.00017866,0.00527279,0.00017043,0.000109,0.00076516,0.00062992,1.172e-5,1.591e-5,5.1e-6,3.493e-5,0.00064869,2.542e-5,0.00030888,2.8e-6,2.582e-5,0.00015893,8.213e-5,6.493e-5,8.599e-5,0.03999842,0.00323028,2.642e-5,0.016437,0.00013853,2.675e-5,0.03878008,6.4e-7,0.00025266,0.00057404,0.00523598,0.00135444,8.681e-5,0.0115,0.0003105,6.061e-5,0.00018815,0.00087489,0.00254654,0.00897508,2.38e-5,0.0554,0.00054205,8.777e-5,0.000243,8.193e-5
9,1492833600,1.5e-7,0.00010379,8.91e-5,0.0065595,0.0004498,1.027e-5,1.66e-6,0.00134495,0.05815338,9.9e-7,3.7e-7,8.94e-6,2.3e-6,1.371e-5,0.00068085,1.025e-5,3.84e-5,0.01020709,0.00017878,0.00535525,0.0001717,0.00010921,0.00076985,0.00062994,1.197e-5,1.62e-5,5.05e-6,3.562e-5,0.00064543,2.514e-5,0.00030722,2.83e-6,2.56e-5,0.00016473,8.278e-5,6.694e-5,8.576e-5,0.04000001,0.00327195,2.591e-5,0.01648107,0.00013728,2.685e-5,0.03886202,6.6e-7,0.00025152,0.00058107,0.00529999,0.0013905,8.45e-5,0.01166002,0.0003113,6.0e-5,0.00018833,0.0009001,0.00255935,0.00906,2.424e-5,0.05521,0.00053899,8.868e-5,0.00024635,8.124e-5
