"","BTC_DASH","BTC_ETH","BTC_LTC","BTC_XRP","BTC_NXT","BTC_BTS","BTC_STR","BTC_XEM","BTC_XMR","BTC_ZEC"
"1",0.05746716,0.03996921,0.00890013,2.367e-05,1.582e-05,8.95e-06,2.72e-06,2.411e-05,0.01666996,0.05477702
"2",0.05805999,0.03983678,0.00887798,2.439e-05,1.62e-05,9.08e-06,2.74e-06,2.32e-05,0.01619991,0.0543
"3",0.05875996,0.03944001,0.00900044,2.552e-05,1.562e-05,9.13e-06,2.79e-06,2.279e-05,0.01612276,0.054105
"4",0.05774,0.039395,0.0091,2.376e-05,1.594e-05,8.97e-06,2.76e-06,2.419e-05,0.01612,0.05520814
"5",0.0576277,0.03889143,0.00979988,2.402e-05,1.583e-05,9e-06,2.68e-06,2.353e-05,0.01631069,0.05475615
"6",0.05741741,0.0393313,0.00980104,2.677e-05,1.563e-05,9.23e-06,2.73e-06,2.376e-05,0.01635491,0.0548341
"7",0.05790001,0.03919999,0.00971779,2.673e-05,1.567e-05,9.75e-06,2.77e-06,2.517e-05,0.01644121,0.0547562
"8",0.05729903,0.03863579,0.00970424,2.685e-05,1.564e-05,9.5e-06,2.78e-06,2.673e-05,0.016441,0.05490647
"9",0.05749889,0.03878008,0.00977167,2.675e-05,1.591e-05,9.96e-06,2.8e-06,2.642e-05,0.016437,0.0554
"10",0.05815338,0.03886202,0.01020709,2.685e-05,1.62e-05,1.027e-05,2.83e-06,2.591e-05,0.01648107,0.05521
"11",0.05809717,0.03919,0.01048153,2.654e-05,1.62e-05,9.89e-06,2.83e-06,2.573e-05,0.01658001,0.05496014
"12",0.05879686,0.03944301,0.01101157,2.595e-05,1.654e-05,9.98e-06,2.88e-06,2.648e-05,0.01648002,0.05543415
"13",0.05814741,0.039014,0.0109894,2.575e-05,1.59e-05,9.55e-06,2.81e-06,2.551e-05,0.0162668,0.05559868
"14",0.05750301,0.03895548,0.0115,2.566e-05,1.61e-05,9.88e-06,2.82e-06,2.581e-05,0.01621369,0.05558888
"15",0.05847987,0.03921998,0.0122025,2.551e-05,1.613e-05,9.78e-06,2.8e-06,2.507e-05,0.01615084,0.05494438
"16",0.0577162,0.03893488,0.01244998,2.574e-05,1.601e-05,9.56e-06,2.82e-06,2.493e-05,0.01621119,0.05463
"17",0.057291,0.03878108,0.01241011,2.552e-05,1.593e-05,1.002e-05,2.79e-06,2.477e-05,0.01626,0.05445007
"18",0.05689986,0.038845,0.0121,2.558e-05,1.627e-05,1.018e-05,2.82e-06,2.516e-05,0.0161,0.05462103
"19",0.05690101,0.03911399,0.01232,2.54e-05,1.607e-05,1.01e-05,2.82e-06,2.572e-05,0.01606386,0.05440002
"20",0.05662,0.03919504,0.0123062,2.575e-05,1.636e-05,1.045e-05,2.85e-06,2.578e-05,0.01613001,0.05420063
"21",0.05659596,0.03968506,0.0117638,2.541e-05,1.653e-05,1.04e-05,2.87e-06,2.567e-05,0.01620546,0.0547819
"22",0.05734993,0.03989923,0.01174294,2.551e-05,1.82e-05,1.039e-05,2.91e-06,2.536e-05,0.01629978,0.05462004
"23",0.05714992,0.0401,0.01187,2.545e-05,1.725e-05,1.084e-05,3.18e-06,2.666e-05,0.01611019,0.05520001
"24",0.05735,0.04013941,0.01204707,2.54e-05,1.77e-05,1.063e-05,3.1e-06,2.64e-05,0.01606008,0.055451
"25",0.05738,0.03959999,0.01193885,2.5e-05,1.735e-05,1.074e-05,3.12e-06,2.68e-05,0.0158736,0.0547009
"26",0.05792,0.03990015,0.01205895,2.514e-05,1.772e-05,1.098e-05,3.06e-06,2.74e-05,0.015685,0.0547
"27",0.05765006,0.039565,0.01191771,2.649e-05,1.775e-05,1.091e-05,3.01e-06,2.775e-05,0.0158918,0.054805
"28",0.05779999,0.03966498,0.0117721,2.631e-05,1.827e-05,1.071e-05,3.05e-06,2.955e-05,0.01577999,0.054675
"29",0.05725,0.03934,0.01138,2.643e-05,1.842e-05,1e-05,3.01e-06,3e-05,0.01575037,0.054875
"30",0.05753076,0.03947,0.011631,2.6e-05,1.929e-05,1.043e-05,3.04e-06,3.016e-05,0.0158001,0.05475002
"31",0.05686999,0.03910007,0.01149,2.531e-05,1.94e-05,1.022e-05,2.98e-06,2.904e-05,0.01547602,0.05451
"32",0.05681276,0.03911949,0.01216,2.551e-05,1.887e-05,1.05e-05,2.99e-06,2.953e-05,0.0155497,0.05454892
"33",0.05655999,0.03935001,0.01196026,2.613e-05,1.891e-05,1.059e-05,3.02e-06,3.091e-05,0.01534705,0.05545
"34",0.05626703,0.03932402,0.01195484,2.557e-05,2.067e-05,1.067e-05,3.11e-06,3.27e-05,0.01532402,0.05826132
"35",0.05641,0.040285,0.01222,2.574e-05,2.198e-05,1.046e-05,3.09e-06,3.457e-05,0.01530016,0.0559
"36",0.05553953,0.040558,0.01209126,2.5e-05,2.076e-05,1.008e-05,3.04e-06,3.401e-05,0.01518984,0.05619
"37",0.0557805,0.04144395,0.01171362,2.578e-05,2.137e-05,9.98e-06,2.94e-06,3.563e-05,0.015219,0.056397
"38",0.05592,0.041036,0.01157884,2.559e-05,2.166e-05,1.023e-05,2.99e-06,3.883e-05,0.01510001,0.056321
"39",0.05533802,0.0409832,0.01149902,2.531e-05,2.14e-05,1.028e-05,3.04e-06,3.888e-05,0.01515561,0.056995
"40",0.05517,0.042494,0.011268,2.505e-05,2.117e-05,1.005e-05,3.01e-06,3.94e-05,0.014856,0.05588271
"41",0.05625,0.04490009,0.01125002,2.502e-05,2.103e-05,1.005e-05,3.02e-06,4.01e-05,0.0151935,0.05789746
"42",0.05890002,0.044612,0.01060458,2.519e-05,2.005e-05,9.96e-06,2.9e-06,3.654e-05,0.01625,0.05875901
"43",0.06099991,0.04497394,0.01095304,2.529e-05,2.032e-05,1.001e-05,2.92e-06,3.623e-05,0.01590191,0.058713
"44",0.05948134,0.0472551,0.01108372,2.644e-05,2.04e-05,1.004e-05,3e-06,3.553e-05,0.01605005,0.05839999
"45",0.0602,0.0483,0.010939,3.005e-05,1.988e-05,1.006e-05,3.08e-06,3.33e-05,0.01598786,0.05882999
"46",0.059704,0.05075991,0.010919,2.917e-05,1.998e-05,1.03e-05,3.14e-06,3.528e-05,0.016407,0.0628275
"47",0.06021692,0.04896551,0.0110292,3.059e-05,2.116e-05,1.042e-05,3.14e-06,3.445e-05,0.01664096,0.06188137
"48",0.05991154,0.049189,0.01117,3.459e-05,2.165e-05,1.042e-05,3.48e-06,3.611e-05,0.01671195,0.0621401
"49",0.06180999,0.05128002,0.011265,3.244e-05,2.172e-05,1.06e-05,3.49e-06,3.72e-05,0.01686527,0.06461291
"50",0.0604,0.053457,0.01092006,3.38e-05,2.125e-05,1.059e-05,3.42e-06,3.725e-05,0.01696718,0.063883
"51",0.06200032,0.05248493,0.011308,3.716e-05,2.189e-05,1.183e-05,3.43e-06,3.768e-05,0.016795,0.06675001
"52",0.06620011,0.052037,0.01108,3.857e-05,2.23e-05,1.185e-05,3.68e-06,3.631e-05,0.01683,0.06722795
"53",0.07366,0.05183006,0.01153708,3.884e-05,2.217e-05,1.191e-05,3.63e-06,3.635e-05,0.017471,0.06770055
"54",0.07085,0.05320215,0.01162903,3.851e-05,2.204e-05,1.131e-05,3.89e-06,3.719e-05,0.01720501,0.068502
"55",0.07236,0.052138,0.01150606,4.134e-05,2.237e-05,1.158e-05,3.75e-06,3.715e-05,0.01705999,0.07132998
"56",0.07140018,0.0514001,0.01194901,3.98e-05,2.258e-05,1.177e-05,3.77e-06,3.628e-05,0.01719507,0.072421
"57",0.07199857,0.0527,0.01228001,3.998e-05,2.292e-05,1.247e-05,3.85e-06,3.694e-05,0.0181998,0.07497684
"58",0.07359001,0.05270732,0.01204999,3.898e-05,2.265e-05,1.288e-05,3.89e-06,3.74e-05,0.01804306,0.07178456
"59",0.07252,0.05319001,0.01201678,3.84e-05,2.321e-05,1.253e-05,3.87e-06,3.745e-05,0.01828906,0.06890307
"60",0.07095,0.05409897,0.01190006,3.945e-05,2.312e-05,1.247e-05,3.81e-06,3.848e-05,0.01816203,0.07137894
"61",0.07,0.0576,0.01182499,3.89e-05,2.386e-05,1.246e-05,3.62e-06,3.752e-05,0.01804306,0.07245725
"62",0.06818037,0.05823999,0.01172903,3.833e-05,2.363e-05,1.204e-05,3.58e-06,3.831e-05,0.01763477,0.06940597
"63",0.06734532,0.05881182,0.01157321,3.933e-05,2.268e-05,1.188e-05,3.94e-06,3.999e-05,0.01708879,0.07061972
"64",0.07089977,0.05875001,0.01205981,4.166e-05,2.294e-05,1.207e-05,3.91e-06,4.07e-05,0.01748102,0.0711892
"65",0.06938998,0.05815782,0.01190364,4.121e-05,2.3e-05,1.252e-05,4.05e-06,4.04e-05,0.0171,0.0751
"66",0.06464294,0.05437446,0.0114,3.852e-05,2.027e-05,1.127e-05,3.69e-06,3.737e-05,0.01646999,0.06807011
"67",0.06149999,0.05293098,0.01088957,3.688e-05,2.04e-05,1.099e-05,3.48e-06,3.521e-05,0.01606084,0.06317961
"68",0.06184813,0.05300004,0.01128383,3.89e-05,2.01e-05,1.079e-05,3.67e-06,3.724e-05,0.01604597,0.06319859
